1,3.4572,1.8594,1.3636,5.1778
1,4.1961,2.0484,1.4312,6.6755
1,4.935,2.2215,1.4905,8.4462
1,5.6739,2.382,1.5434,10.0438
1,6.4128,2.5324,1.5913,11.1175
1,7.1517,2.6743,1.6353,11.5784
1,7.8906,2.809,1.676,11.6443
1,8.6295,2.9376,1.7139,11.7325
1,9.3684,3.0608,1.7495,12.2465
1,10.1073,3.1792,1.783,13.3623
1,10.8462,3.2934,1.8148,14.9358
1,11.5851,3.4037,1.8449,16.5858
1,12.3241,3.5106,1.8736,17.8961
1,13.063,3.6143,1.9011,18.6286
1,13.8019,3.7151,1.9275,18.8418
1,14.5408,3.8132,1.9528,18.8611
1,15.2797,3.9089,1.9771,19.1117
1,16.0186,4.0023,2.0006,19.8964
1,16.7575,4.0936,2.0233,21.2363
1,17.4964,4.1829,2.0452,22.8612
